"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","Order","PID","Longitude","Latitude"
1506,20,"RL",NA,10456,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1967,1967,"Hip","CompShg","HdBoard","HdBoard","BrkFace",120,"TA","TA","CBlock","TA","TA","No","GLQ",506,"Unf",0,1323,1829,"GasA","Gd","Y","SBrkr",1829,0,0,1829,1,0,2,0,4,1,"TA",8,"Typ",0,NA,"Attchd",1967,"RFn",2,535,"TA","TA","Y",0,76,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal",111,534129040,-93.633351,42.046322
1507,60,"RL",80,10791,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1993,1993,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",1137,"Unf",0,143,1280,"GasA","Ex","Y","SBrkr",1280,1215,0,2495,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1993,"Unf",2,660,"TA","TA","Y",224,32,0,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal",112,534151175,-93.636879,42.043038
1508,50,"RL",NA,18837,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1.5Fin",6,5,1978,1978,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","Gd","TA","Mn","ALQ",687,"LwQ",46,491,1224,"GasA","TA","Y","SBrkr",1287,604,0,1891,0,1,3,0,3,1,"TA",7,"Typ",1,"TA","Attchd",1978,"RFn",2,678,"TA","TA","Y",0,69,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal",114,534152070,-93.637531,42.043306
1509,60,"RL",80,9600,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,6,1971,1971,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",329,"Unf",0,386,715,"GasA","TA","Y","SBrkr",930,715,0,1645,0,0,1,2,4,1,"TA",7,"Typ",0,NA,"Attchd",1971,"RFn",2,441,"TA","TA","Y",0,78,0,0,0,0,NA,"GdWo",NA,0,6,2010,"WD","Normal",117,534176230,-93.632554,42.043821
1510,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1966,1966,"Hip","CompShg","VinylSd","VinylSd","BrkFace",172,"TA","TA","CBlock","TA","TA","No","Rec",698,"Unf",0,534,1232,"GasA","TA","Y","SBrkr",1232,0,0,1232,1,0,1,1,3,1,"TA",6,"Typ",0,NA,"Attchd",1966,"RFn",2,490,"TA","TA","Y",0,224,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal",118,534202160,-93.626137,42.046574
1511,20,"RL",90,9900,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1966,1966,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","BLQ",1059,"Unf",0,150,1209,"GasA","Gd","Y","SBrkr",1209,0,0,1209,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1966,"RFn",2,504,"TA","TA","Y",0,0,120,0,0,0,NA,NA,NA,0,4,2010,"ConLD","Normal",121,534401110,-93.626939,42.039085
1512,20,"RL",88,9680,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1967,1967,"Gable","CompShg","Wd Sdng","Plywood","BrkFace",268,"TA","TA","CBlock","TA","TA","No","BLQ",1010,"Unf",0,500,1510,"GasA","Ex","Y","SBrkr",1510,0,0,1510,1,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",1967,"RFn",2,517,"TA","TA","Y",0,40,0,0,204,0,NA,"GdPrv",NA,0,4,2010,"WD","Normal",122,534401140,-93.627536,42.038971
1513,80,"RL",NA,10600,"Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",6,5,1964,1964,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,533,533,"GasA","TA","Y","SBrkr",1131,644,0,1775,0,0,2,0,3,1,"TA",8,"Typ",0,NA,"Attchd",1964,"Unf",2,480,"TA","TA","Y",0,172,0,0,0,0,NA,NA,NA,0,5,2010,"COD","Family",123,534403360,-93.626785,42.040326
1514,90,"RL",98,13260,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story",5,6,1962,2001,"Hip","CompShg","HdBoard","HdBoard","BrkFace",144,"TA","TA","CBlock","TA","TA","No","BLQ",1500,"Unf",0,228,1728,"GasA","TA","Y","SBrkr",1728,0,0,1728,2,0,2,0,6,2,"TA",10,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",0,0,0,0,0,0,NA,NA,NA,0,1,2010,"Oth","Abnorml",126,534427010,-93.622904,42.0418387
1515,50,"RL",68,9724,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",5,7,1952,2002,"Gable","CompShg","MetalSd","MetalSd","BrkFace",265,"Gd","TA","CBlock","TA","TA","No","LwQ",670,"Unf",0,470,1140,"GasA","Gd","Y","SBrkr",1929,532,0,2461,0,0,2,0,3,1,"TA",7,"Min2",2,"Gd","Detchd",1994,"Unf",2,400,"TA","TA","Y",0,0,0,0,0,0,NA,"GdWo",NA,0,3,2010,"WD","Normal",128,534431050,-93.620651,42.039211
1516,50,"RL",120,17360,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",6,6,1949,1950,"Gable","CompShg","MetalSd","MetalSd","Stone",340,"TA","Gd","CBlock","TA","TA","No","Rec",300,"Unf",0,482,782,"GasA","TA","Y","SBrkr",1019,537,0,1556,0,0,2,0,3,1,"TA",6,"Typ",1,"Gd","Attchd",1949,"Unf",2,470,"TA","TA","Y",0,0,150,0,0,0,NA,NA,NA,0,1,2010,"WD","Normal",129,534431070,-93.620504,42.038538
1517,85,"RL",75,11380,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SFoyer",6,8,1966,2008,"Gable","CompShg","HdBoard","HdBoard","BrkFace",216,"TA","TA","CBlock","TA","TA","Gd","GLQ",944,"Unf",0,136,1080,"GasA","Gd","Y","SBrkr",1128,0,0,1128,1,0,1,0,2,1,"Gd",5,"Typ",1,"Gd","Attchd",1966,"Unf",1,315,"TA","TA","Y",238,0,0,0,0,0,NA,NA,"Shed",1500,1,2010,"WD","Normal",135,535101020,-93.618221,42.048494
1518,90,"RL",70,8267,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","Duplex","1Story",5,5,1958,1958,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1604,1604,"GasA","TA","Y","SBrkr",1604,0,0,1604,0,0,2,0,4,2,"TA",8,"Typ",0,NA,"Attchd",1958,"Unf",2,576,"TA","TA","Y",42,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal",139,535152010,-93.617693,42.044895
1519,20,"RL",70,8197,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,2003,2009,"Gable","CompShg","VinylSd","VinylSd","BrkFace",506,"Gd","TA","PConc","Gd","TA","No","GLQ",1188,"Unf",0,292,1480,"GasA","Ex","Y","SBrkr",1480,0,0,1480,1,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2003,"RFn",2,620,"TA","TA","Y",252,73,0,0,0,0,NA,"MnPrv","Shed",300,2,2010,"WD","Normal",140,535152050,-93.617553,42.043984
1520,20,"RL",NA,8050,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","MetalSd","MetalSd","BrkFace",150,"TA","TA","CBlock","TA","TA","No","BLQ",856,"Rec",162,125,1143,"GasA","TA","Y","SBrkr",1143,0,0,1143,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1959,"RFn",1,308,"TA","TA","Y",0,0,0,0,0,0,NA,"GdPrv",NA,0,5,2010,"WD","Normal",141,535152130,-93.617117,42.042908
1521,20,"RL",87,10725,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","MetalSd","MetalSd","BrkFace",91,"TA","TA","CBlock","TA","TA","No","Rec",936,"Unf",0,270,1206,"GasA","Fa","Y","SBrkr",1206,0,0,1206,0,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1959,"RFn",1,312,"TA","TA","Y",0,21,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal",147,535175180,-93.61513,42.044883
1522,20,"RL",80,10032,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1959,1959,"Gable","CompShg","Wd Sdng","Wd Sdng","Stone",432,"TA","TA","CBlock","TA","TA","No","Rec",734,"Unf",0,510,1244,"GasA","Ex","Y","SBrkr",1580,0,0,1580,1,0,1,1,3,1,"TA",6,"Typ",2,"Gd","Attchd",1956,"Unf",2,440,"TA","TA","Y",0,28,0,0,160,0,NA,"GdWo",NA,0,6,2010,"WD","Normal",148,535179020,-93.614241,42.0435919
1523,50,"RL",60,8382,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",4,5,1956,1956,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA","TA","Y","FuseA",832,505,0,1337,0,0,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1956,"Unf",1,263,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,2,2010,"WD","Normal",149,535180130,-93.613624,42.042308
1524,20,"RL",60,10950,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1952,1952,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",339,"Unf",0,525,864,"GasA","TA","Y","SBrkr",1064,0,0,1064,0,1,1,0,2,1,"Fa",4,"Typ",0,NA,"Detchd",1952,"Unf",1,318,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal",150,535302080,-93.615622,42.040396
1525,20,"RL",119,10895,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1955,1955,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","Rec",648,"Unf",0,324,972,"GasA","TA","Y","SBrkr",972,0,0,972,0,0,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1955,"Unf",1,305,"TA","TA","Y",0,0,205,0,0,0,NA,"GdWo",NA,0,6,2010,"WD","Normal",151,535302200,-93.617092,42.04137
1526,190,"RL",70,13587,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","2fmCon","1Story",5,5,1958,1958,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Av","Rec",532,"Unf",0,456,988,"GasA","TA","Y","SBrkr",988,0,0,988,1,0,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd",1958,"Unf",1,264,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Abnorml",152,535304060,-93.61722,42.038515
1527,30,"RL",65,7898,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,7,1920,1994,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,576,576,"GasA","Gd","Y","SBrkr",985,0,0,985,0,1,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd",1989,"Unf",2,676,"TA","TA","N",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal",154,535325400,-93.615475,42.038443
1528,50,"RL",60,8064,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",6,8,1948,2004,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",481,"Rec",174,161,816,"GasA","TA","Y","SBrkr",816,408,0,1224,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1950,"Unf",1,280,"TA","TA","Y",414,0,0,0,0,0,NA,"GdWo",NA,0,5,2010,"WD","Normal",162,535450210,-93.61061,42.035867
1529,20,"RL",81,7635,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1960,1960,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",588,"LwQ",350,237,1175,"GasA","Ex","Y","SBrkr",1175,0,0,1175,0,0,1,1,3,1,"TA",6,"Typ",0,NA,"Detchd",1960,"RFn",2,484,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal",167,535457090,-93.606742,42.034851
1530,20,"RL",80,9760,"Pave",NA,"Reg","Lvl","AllPub","Inside","Mod","NAmes","Norm","Norm","1Fam","1Story",6,7,1963,1984,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",218,"TA","TA","CBlock","TA","TA","Gd","BLQ",717,"LwQ",263,415,1395,"GasA","TA","Y","SBrkr",1395,0,0,1395,1,0,1,0,2,1,"TA",7,"Min1",1,"TA","Attchd",1963,"RFn",2,440,"TA","TA","Y",657,0,113,0,240,0,NA,NA,NA,0,5,2010,"WD","Normal",168,535476350,-93.604835,42.036873
1531,50,"RM",60,4800,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,5,1900,1954,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",771,"TA","TA","PConc","TA","TA","No","ALQ",48,"Unf",0,661,709,"GasA","TA","Y","SBrkr",1157,687,0,1844,1,0,1,0,3,1,"TA",9,"Min2",2,"Gd","Basment",1900,"Unf",1,240,"TA","TA","Y",84,0,0,0,0,0,NA,NA,NA,0,1,2010,"COD","Abnorml",170,902102100,-93.617014,42.033313
1532,30,"RM",56,4485,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",5,7,1920,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","BLQ",579,"Unf",0,357,936,"GasA","TA","Y","SBrkr",936,0,0,936,1,0,1,0,2,1,"TA",5,"Typ",1,"Gd",NA,NA,NA,0,0,NA,NA,"P",51,0,135,0,0,0,NA,"MnPrv",NA,0,5,2010,"WD","Normal",172,902106130,-93.62024,42.031363
1533,20,"RM",69,5805,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Mod","OldTown","Norm","Norm","1Fam","1Story",5,7,1957,1957,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",274,"Rec",1073,0,1347,"GasA","Gd","Y","SBrkr",1347,0,0,1347,1,1,1,0,3,1,"Gd",6,"Typ",0,NA,"Detchd",1957,"Unf",2,551,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal",174,902110090,-93.6179112,42.0303783
1534,45,"RM",50,6900,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",6,7,1938,2000,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,827,827,"GasA","Gd","Y","SBrkr",827,424,0,1251,0,0,1,0,3,1,"Fa",6,"Typ",0,NA,"Detchd",1938,"Unf",1,240,"Fa","TA","N",0,0,0,0,0,0,NA,NA,NA,0,1,2010,"WD","Normal",179,902206130,-93.6090761,42.0303113
1535,50,"RM",69,11851,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",5,7,1948,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","BrkTil","TA","TA","No","BLQ",780,"Unf",0,247,1027,"GasA","Ex","Y","SBrkr",1027,606,0,1633,0,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1948,"Unf",1,240,"TA","TA","Y",0,100,126,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal",180,902206220,-93.610466,42.030383
1536,50,"RM",NA,8239,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",5,6,1920,1962,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Rec",176,"Unf",0,832,1008,"GasA","TA","Y","SBrkr",1060,185,0,1245,0,0,1,0,3,1,"TA",6,"Typ",0,NA,"Detchd",1962,"Unf",1,315,"TA","TA","Y",0,0,334,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal",181,902206240,-93.610468,42.030467
1537,30,"RM",68,9656,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",2,2,1923,1970,"Gable","CompShg","AsbShng","AsbShng","None",0,"TA","Fa","BrkTil","Fa","Fa","No","Unf",0,"Unf",0,678,678,"GasA","TA","N","SBrkr",832,0,0,832,0,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1928,"Unf",2,780,"Fa","Fa","N",0,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Abnorml",182,902207130,-93.606789,42.030388
1538,70,"RM",60,9600,"Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story",8,9,1900,2003,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,930,930,"GasW","TA","N","SBrkr",930,636,0,1566,0,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Detchd",1930,"Unf",1,288,"TA","TA","Y",54,228,246,0,0,0,NA,NA,NA,0,4,2010,"WD","Abnorml",184,902305110,-93.616887,42.028099
1539,70,"RM",50,9000,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",8,9,1890,2002,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","Stone","Fa","Fa","No","Unf",0,"Unf",0,346,346,"GasA","Ex","Y","SBrkr",1157,1111,0,2268,0,0,3,0,3,1,"Gd",7,"Typ",0,NA,"Detchd",2003,"Unf",2,624,"TA","TA","N",0,108,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal",186,902329030,-93.61221,42.028145
1540,190,"RM",100,9045,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",5,3,1910,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Fa","BrkTil","TA","TA","Mn","Unf",0,"Unf",0,840,840,"Grav","Fa","N","FuseF",1128,1128,0,2256,0,0,2,0,4,2,"Fa",12,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"N",0,18,18,0,0,0,NA,NA,NA,0,6,2010,"WD","Abnorml",187,902401060,-93.608878,42.028083
1541,70,"RM",60,10560,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,7,1922,1994,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","Fa","TA","No","Rec",283,"Unf",0,455,738,"GasA","Ex","Y","SBrkr",868,602,0,1470,0,0,1,1,2,1,"TA",6,"Min1",0,NA,"Detchd",1970,"Unf",2,624,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal",191,902403070,-93.607088,42.028165
1542,50,"RM",53,5830,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Feedr","1Fam","1.5Fin",5,6,1950,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","Rec",788,"Unf",0,200,988,"GasA","Ex","Y","SBrkr",1030,582,0,1612,0,0,1,1,3,1,"TA",7,"Typ",0,NA,"Detchd",1950,"Unf",1,363,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,3,2010,"WD","Normal",192,903204040,-93.625737,42.033642
1543,75,"RL",NA,7793,"Pave",NA,"IR1","Bnk","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","2.5Unf",7,7,1922,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Gd","TA","No","BLQ",474,"Unf",0,634,1108,"GasA","TA","N","FuseA",1160,908,0,2068,0,0,1,1,3,1,"Gd",8,"Typ",1,"Gd","Detchd",1928,"Unf",1,315,"TA","TA","Y",0,0,60,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal",193,903206120,-93.625825,42.030187
1544,30,"RM",50,5000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","Norm","1Fam","1Story",4,7,1925,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Rec",188,"Unf",0,577,765,"GasA","TA","N","FuseF",765,0,0,765,1,0,1,0,2,1,"Gd",4,"Typ",0,NA,"Detchd",1926,"Unf",1,200,"Fa","TA","P",135,0,41,0,0,0,NA,"MnPrv",NA,0,4,2010,"WD","Normal",194,903225150,-93.625586,42.033621
1545,50,"RM",50,6000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,7,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Gd","No","BLQ",452,"LwQ",12,144,608,"GasA","TA","Y","SBrkr",608,524,0,1132,1,0,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd",1939,"Unf",1,240,"TA","TA","Y",0,0,128,0,0,0,NA,"MnPrv",NA,0,4,2010,"WD","Abnorml",195,903226160,-93.624566,42.033563
1546,50,"RM",50,6000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1940,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","LwQ",264,"Unf",0,308,572,"GasA","Ex","Y","FuseA",848,348,0,1196,0,1,1,1,3,1,"TA",6,"Typ",2,"Gd","Detchd",1973,"Unf",2,576,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal",196,903227020,-93.622597,42.0336
1547,50,"RM",53,6360,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Norm","1Fam","1.5Fin",5,6,1942,1950,"Gable","CompShg","MetalSd","MetalSd","Stone",300,"TA","TA","CBlock","TA","TA","No","Rec",360,"LwQ",159,316,835,"GasA","TA","Y","FuseA",955,498,0,1453,0,0,1,1,3,1,"Gd",7,"Min2",2,"Fa","Detchd",1942,"Unf",1,240,"TA","TA","Y",0,0,35,0,148,0,NA,NA,NA,0,3,2010,"WD","Normal",197,903227150,-93.623523,42.033665
1548,50,"RM",50,6000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,7,1948,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",300,"Unf",0,480,780,"GasA","TA","Y","SBrkr",780,636,0,1416,0,0,1,1,3,1,"TA",6,"Typ",0,NA,"Detchd",1948,"Unf",1,312,"TA","TA","P",221,0,48,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal",198,903228150,-93.622448,42.033631
1549,50,"RM",52,6240,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,7,1936,1980,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","No","Rec",276,"Unf",0,252,528,"GasA","Gd","Y","SBrkr",548,492,0,1040,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd",1979,"Fin",2,624,"TA","TA","P",306,0,32,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal",199,903232190,-93.623483,42.031556
1550,50,"RM",52,6240,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,1930,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","LwQ",448,"Unf",0,480,928,"GasA","TA","Y","FuseF",928,608,0,1536,0,0,2,0,4,1,"TA",7,"Typ",1,"Gd","Detchd",1930,"Unf",2,480,"TA","TA","Y",0,10,0,0,0,0,NA,"MnPrv",NA,0,3,2010,"WD","Normal",200,903233120,-93.621482,42.031337
1551,30,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",6,5,1923,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Fa","Fa","No","ALQ",960,"Unf",0,164,1124,"GasA","TA","Y","SBrkr",1068,0,0,1068,1,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1923,"Unf",1,288,"TA","TA","Y",0,0,128,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal",201,903234050,-93.620409,42.032302
1552,50,"RM",57,8094,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,5,1915,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Fa","CBlock","TA","TA","No","Unf",0,"Unf",0,888,888,"GasA","Ex","Y","SBrkr",888,1074,0,1962,0,0,1,1,4,1,"TA",9,"Typ",1,"TA","Detchd",1915,"Unf",2,572,"TA","TA","Y",160,0,364,0,0,0,NA,"GdPrv",NA,0,6,2010,"WD","Normal",203,903426180,-93.621674,42.028888
